Sample dates,CON%,LAB%,LIB%,Reform%,Green%
2019-12-31,38.4,37.2,10.75,3.4,4.2
2020-03-31,48.642857142857146,29.928571428571427,8.857142857142858,2.272727272727273,4.142857142857143
2020-06-30,46.22727272727273,34.86363636363637,7.113636363636363,2.0,3.772727272727273
2020-09-30,42.04081632653061,37.46938775510204,6.959183673469388,2.433333333333333,4.204081632653061
2020-12-31,39.32,38.54,6.94,2.9523809523809526,4.46
2021-03-31,41.327586206896555,36.724137931034484,7.051724137931035,2.46,4.827586206896552
2021-06-30,42.96923076923077,33.61538461538461,7.8,2.375,5.661538461538462
2021-09-30,40.25,34.125,9.214285714285714,3.064516129032258,6.035714285714286
2021-12-31,36.142857142857146,36.74285714285714,9.3,3.8421052631578947,6.328571428571428
2022-03-31,33.53521126760563,39.478873239436616,10.098591549295774,3.4693877551020407,5.647887323943662
2022-06-30,33.385714285714286,39.41428571428571,11.142857142857142,3.2083333333333335,5.514285714285714
2022-09-30,30.93258426966292,42.30337078651685,11.146067415730338,3.130434782608696,5.52808988764045
2022-12-31,25.19607843137255,49.029411764705884,9.215686274509803,4.905882352941177,4.772277227722772
2023-03-31,26.54901960784314,46.754901960784316,8.931372549019608,5.803921568627451,5.1568627450980395
2023-06-30,27.89010989010989,44.62637362637363,10.54945054945055,5.582417582417582,5.241758241758242
2023-09-30,26.43243243243243,45.17567567567568,10.81081081081081,6.324324324324325,5.54054054054054
2023-12-31,25.940860215053764,44.354838709677416,10.790322580645162,7.679569892473118,5.756989247311828
2024-03-31,24.25,43.99,9.79,10.74,5.9
2024-05-31,25.666666666666668,43.333333333333336,11.0,10.0,6.0
